Año,Mes,TD
1984,Marzo,16.6625245701633
,Junio,17.6378904856623
,Septiembre,15.5948489741267
,Diciembre,16.8308135957806
1985,Marzo,16.7525355702367
,Junio,N/A
,Septiembre,15.2290795129455
,Diciembre,15.1357774797206
1986,Marzo,15.1177367112945
,Junio,17.1719901171445
,Septiembre,14.5762819019342
,Diciembre,13.7534075420264
1987,Marzo,13.3394507607336
,Junio,12.6503676462354
,Septiembre,11.2815980565786
,Diciembre,12.9366896654664
1988,Marzo,14.1894122274988
,Junio,13.3716394161312
,Septiembre,11.81634946057
,Diciembre,11.8402515424235
1989,Marzo,12.7023081948775
,Junio,12.1651787981272
,Septiembre,11.8450044953864
,Diciembre,12.8102392109868
1990,Marzo,11.439654548918
,Junio,12.4313743276591
,Septiembre,13.6719448828602
,Diciembre,12.415377766289
1991,Marzo,13.8112202188696
,Junio,14.8369051548248
,Septiembre,13.6540563470711
,Diciembre,13.0860624452656
1992,Marzo,15.2461108619917
,Junio,15.147460828981
,Septiembre,12.2033938405652
,Diciembre,12.5294229684226
1993,Marzo,13.177878150354
,Junio,12.0336714075808
,Septiembre,10.84983629486
,Diciembre,10.547072143492
1994,Marzo,13.1550509730431
,Junio,11.907754992039
,Septiembre,8.58997746056948
,Diciembre,8.35289231193393
1995,Marzo,9.15771750178139
,Junio,9.82520833829324
,Septiembre,10.9291286817052
,Diciembre,11.9392565791953
1996,Marzo,11.5707810983256
,Junio,12.1591156373765
,Septiembre,13.3431625825186
,Diciembre,13.5495368564947
1997,Marzo,16.4239595804838
,Junio,15.3373855069422
,Septiembre,13.8538811940635
,Diciembre,12.397005298206
1998,Marzo,16.2708472846711
,Junio,16.7055213283128
,Septiembre,15.7971124415939
,Diciembre,15.8363871644718
1999,Marzo,23.0990135510518
,Junio,21.6532842936124
,Septiembre,22.3505510047059
,Diciembre,20.0860381944684
2000,Marzo,22.2017708030144
,Junio,20.815095536112
,Septiembre,21.0177828921005
,Diciembre,19.8622997689649
2001,Ene -Mar,20.5512575312472
,Feb -Abr,20.1490792186479
,mar - May,19.5446231493831
,Abr - Jun,18.9557486133161
,May - Jul,17.4399626160696
,Jun - Ags,16.3712139817913
,Jul - Sep,16.2914706850106
,Ago -Oct,16.6154125661801
,Sep - Nov,16.675719474661
,Oct - Dic,16.2226592806111
,Nov - Ene,17.4869162064722
,Dic -Feb,18.4323346078199
2002,Ene -Mar,18.5261137593516
,Feb -Abr,17.8732342891537
,mar - May,17.1895319417218
,Abr - Jun,17.2966262550234
,May - Jul,17.3928524858706
,Jun - Ags,17.1231704414474
,Jul - Sep,16.9731589191949
,Ago -Oct,15.6548033392301
,Sep - Nov,15.578515833642
,Oct - Dic,15.0150177395873
,Nov - Ene,15.78800595278
,Dic -Feb,15.8891367249743
2003,Ene -Mar,16.7929260927394
,Feb -Abr,16.651979024733
,mar - May,16.3742457248422
,Abr - Jun,16.2839452516609
,May - Jul,16.4862307100196
,Jun - Ags,16.5417402084498
,Jul - Sep,15.992288578528
,Ago -Oct,15.0390340531509
,Sep - Nov,14.32302252945
,Oct - Dic,13.6480660169262
,Nov - Ene,15.0511671907938
,Dic -Feb,16.3143591744641
2004,Ene -Mar,17.1952223246883
,Feb -Abr,16.5947960586488
,mar - May,15.2158311464616
,Abr - Jun,15.0928763962334
,May - Jul,14.4346194030595
,Jun - Ags,15.1080746897745
,Jul - Sep,14.9469630982319
,Ago -Oct,14.6419363969491
,Sep - Nov,13.9919839780945
,Oct - Dic,13.275659610574
,Nov - Ene,13.7260898689964
,Dic -Feb,14.328722520821
2005,Ene -Mar,15.0500863398231
,Feb -Abr,14.8368936205667
,mar - May,14.8509303433865
,Abr - Jun,14.4615859955457
,May - Jul,14.7621137377752
,Jun - Ags,14.9188676557488
,Jul - Sep,14.8111794954711
,Ago -Oct,13.4691055250195
,Sep - Nov,11.7321215688382
,Oct - Dic,10.7608813253321
,Nov - Ene,12.5549808172655
,Dic -Feb,13.7934131678066
2006,Ene -Mar,14.3178522637783
,Feb -Abr,13.3136539086863
,mar - May,13.4096270892067
,Abr - Jun,13.8647971854398
,May - Jul,14.0069232072326
,Jun - Ago,13.4750396381786
,Jul - Sep,13.0306344710249
,Ago -Oct,12.5718846372003
,Sep - Nov,12.2239321225552
,Oct - Dic,12.5977871961183
,Nov - Ene 07,13.1826114732716
,Dic - Feb 07,13.8965256667137
2007,Ene - Mar,14.475593038176
,Feb - Abr,13.9024224652698
,Mar - May,13.4463643498435
,Abr - Jun,12.3699759537947
,May - Jul,11.8604985699538
,Jun - Ago,11.3478877554921
,Jul - Sep,11.4239780574489
,Ago - Oct,11.1109790504419
,Sep - Nov,10.5574847639436
,Oct- Dic,10.0850923462387
,Nov 07 - Ene 08,11.573919269997
,Dic 07 - Feb 08,13.043630364266
2008,Ene - Mar,14.389057532192
,Feb - Abr,14.0002133593179
,Mar - May,14.7989231233326
,Abr - Jun,14.5470525515075
,May - Jul,14.5583770476116
,Jun - Ago,13.3749064534462
,Jul - Sep,13.270390794729
,Ago - Oct,12.8090291007239
,Sep - Nov,12.5034936883224
,Oct- Dic,12.1334637916806
,Nov 08 - Ene 09,14.5699448852295
,Dic 08-Feb 09,16.6370738600753
2009,Ene - Mar,17.9897729286383
,Feb - Abr,16.2827561879874
,Mar- May,15.0312790160609
,Abr - Jun,15.0147790029664
