Año,Mes,TD
2001,Ene -Mar,20.55126
,Feb -Abr,20.14908
,mar - May,19.54462
,Abr - Jun,18.95575
,May - Jul,17.43996
,Jun - Ags,16.37121
,Jul - Sep,16.29147
,Ago -Oct,16.61541
,Sep - Nov,16.67572
,Oct - Dic,16.22266
,Nov - Ene,17.48692
,Dic -Feb,18.43233
2002,Ene -Mar,18.52611
,Feb -Abr,17.87323
,mar - May,17.18953
,Abr - Jun,17.29663
,May - Jul,17.39285
,Jun - Ags,17.12317
,Jul - Sep,16.97316
,Ago -Oct,15.65480
,Sep - Nov,15.57852
,Oct - Dic,15.01502
,Nov - Ene,15.78801
,Dic -Feb,15.88914
2003,Ene -Mar,16.79293
,Feb -Abr,16.65198
,mar - May,16.37425
,Abr - Jun,16.28395
,May - Jul,16.48623
,Jun - Ags,16.54174
,Jul - Sep,15.99229
,Ago -Oct,15.03903
,Sep - Nov,14.32302
,Oct - Dic,13.64807
,Nov - Ene,15.05117
,Dic -Feb,16.31436
2004,Ene -Mar,17.19522
,Feb -Abr,16.59480
,mar - May,15.21583
,Abr - Jun,15.09288
,May - Jul,14.43462
,Jun - Ags,15.10807
,Jul - Sep,14.94696
,Ago -Oct,14.64194
,Sep - Nov,13.99198
,Oct - Dic,13.27566
,Nov - Ene,13.72609
,Dic -Feb,14.32872
2005,Ene -Mar,15.05009
,Feb -Abr,14.83689
,mar - May,14.85093
,Abr - Jun,14.46159
,May - Jul,14.76211
,Jun - Ags,14.91887
,Jul - Sep,14.81118
,Ago -Oct,13.46911
,Sep - Nov,11.73212
,Oct - Dic,10.76088
,Nov - Ene,12.55498
,Dic -Feb,13.79341
2006,Ene -Mar,14.31785
,Feb -Abr,13.31365
,mar - May,13.40963
,Abr - Jun,13.86480
,May - Jul,14.00692
,Jun - Ago,13.47504
,Jul - Sep,13.03063
,Ago -Oct,12.57188
,Sep - Nov,12.22393
,Oct - Dic,12.59779
,Nov - Ene 07,13.18261
,Dic - Feb 07,13.89653
2007,Ene - Mar,14.47559
,Feb - Abr,13.90242
,Mar - May,13.44636
,Abr - Jun,12.36998
,May - Jul,11.86050
,Jun - Ago,11.34789
,Jul - Sep,11.42398
,Ago - Oct,11.11098
,Sep - Nov,10.55748
,Oct- Dic,10.08509
,Nov 07 - Ene 08,11.57392
,Dic 07 - Feb 08,13.04363
2008,Ene - Mar,14.38906
,Feb - Abr,14.00021
,Mar - May,14.79892
,Abr - Jun,14.54705
,May - Jul,14.55838
,Jun - Ago,13.37491
,Jul - Sep,13.27039
,Ago - Oct,12.80903
,Sep - Nov,12.50349
,Oct- Dic,12.13346
,Nov 08 - Ene 09,14.56994
,Dic 08-Feb 09,16.63707
2009,Ene - Mar,17.98977
,Feb - Abr,16.28276
,Mar- May,15.03128
,Abr - Jun,15.01478
,May - Jul,15.19167
,Jun - Ago,16.00613
,Jul - Sep,15.51708
,Ago - Oct,14.76120
,Sep - Nov,14.21100
,Oct- Dic,14.22236
,Nov 09-Ene 10,15.25097
,Dic 09 - Feb 10,15.47786
2010,Ene - Mar,15.06171
,Feb-Abr,14.93917
,Mar - May,14.30045
,Abr - Jun,14.61705
,May - Jul,14.43697
,Jun - Ago,14.29994
,Jul - Sep,13.63507
,Ago - Oct,13.16379
,Sep - Nov,12.55459
,Oct - Dic,12.34487
,Nov 10-Ene 11,13.24120
,Dic 10 - Feb 11,13.79638
2011,Ene - Mar,13.72914
,Feb-Abr,12.46383
,Mar - May,11.92035
,Abr - Jun,12.52019
,May - Jul,12.38242
,Jun - Ago,12.50570
,Jul - Sep,11.80346
,Ago - Oct,11.18597
,Sep - Nov,11.24105
,Oct - Dic,10.94763
,Nov 11-Ene 12,12.26371
,Dic 11 - Feb 12,12.52769
2012,Ene - Mar,13.36249
,Feb-Abr,12.90553
,Mar - May,13.04863
,Abr - Jun,13.25249
,May - Jul,13.08330
,Jun - Ago,12.54377
,Jul - Sep,11.97286
,Ago - Oct,11.69136
,Sep - Nov,11.39034
,Oct - Dic,11.05272
,Nov12 - Ene13,11.90011
,Dic 12 - Feb 13,13.04681
2013,Ene - Mar,14.05322
,Feb - Abr,13.08209
,Mar - May,12.23091
,Abr - Jun,11.21955
,May - Jul,10.74172
,Jun - Ago,10.40242
,Jul - Sep,10.01748
,Ago - Oct,9.68835
,Sep - Nov,9.61826
,Oct - Dic,9.60632
,Nov13 - Ene14,11.03962
,Dic 13 - Feb 14,11.57808
2014,Ene - Mar,11.45702
,Feb - Abr,10.44188
,Mar - May,10.11329
,Abr - Jun,9.87666
,May- Jul,9.91796
,Jun - Ago,9.48195
,Jul - Sep,9.69724
,Ago - Oct,9.51972
,Sep - Nov,9.80619
,Oct - Dic,9.93266
,Nov 14 - Ene 15,11.25006
,Dic 14 - Feb 15,11.93020
2015,Ene - Mar,12.42372
,Feb - Abr,11.82774
,Mar - May,11.16361
,Abr - Jun,10.71434
,May - Jul,9.89586
,Jun - Ago,10.00466
,Jul - Sep,10.09016
,Ago - Oct,9.95594
,Sep - Nov,9.24622
,Oct - Dic,9.24523
,Nov 15 - Ene 16,11.44027
,Dic 15 - Feb 16,12.70006
2016,Ene - Mar ,13.33850
,Feb - Abr ,11.08024
,Mar - May,10.13004
,Abr - Jun,9.74523
,May - Jul,10.73711
,Jun - Ago,10.70234
,Jul - Sep,10.26382
,Ago - Oct,9.38429
,Sep - Nov,9.21236
,Oct - Dic,9.37488
,Nov 16 - Ene 17,11.07687
,Dic 16 - Feb 17,11.81405
2017,Ene - Mar,12.08720
,Feb - Abr,10.82868
,Mar - May,10.42413
,Abr - Jun,10.00057
,May - Jul,10.41384
,Jun - Ago,10.71895
,Jul - Sep,11.26671
,Ago - Oct,10.50501
,Sep - Nov,10.54408
,Oct - Dic,9.89728
,Nov 17 - Ene 18,11.90938
,Dic 17 - Feb 18,12.76388
2018,Ene - Mar,13.22823
,Feb - Abr,12.57460
,Mar - May,11.83030
,Abr - Jun,12.12350
,May - Jul,11.19033
,Jun - Ago,11.53177
,Jul - Sep,11.34715
,Ago - Oct,11.24581
,Sep - Nov,10.66001
,Oct - Dic,10.29648
,Nov 18 - Ene 19,11.79801
