filename,width,height,class,xmin,ymin,xmax,ymax
02-15-20:02.jpg,704,480,taxi,61,179,151,260
02-15-20:02.jpg,704,480,taxi,2,264,91,380
02-15-20:02.jpg,704,480,taxi,564,230,660,325
02-15-20:02.jpg,704,480,taxi,623,422,701,480
02-15-20:02.jpg,704,480,motorcycle,500,187,534,245
02-15-20:02.jpg,704,480,motorcycle,537,252,567,313
02-15-20:02.jpg,704,480,motorcycle,190,149,227,206
02-15-20:02.jpg,704,480,motorcycle,231,90,253,129
02-15-20:02.jpg,704,480,motorcycle,18,361,70,438
02-15-20:02.jpg,704,480,motorcycle,507,157,531,202
02-15-20:02.jpg,704,480,motorcycle,474,86,499,132
02-15-20:02.jpg,704,480,motorcycle,462,58,479,92
02-15-20:02.jpg,704,480,taxi,495,95,541,140
02-15-20:02.jpg,704,480,car,433,96,480,144
02-15-20:02.jpg,704,480,car,526,150,611,207
02-15-20:02.jpg,704,480,car,441,147,505,200
02-15-20:02.jpg,704,480,car,130,246,224,354
02-15-20:02.jpg,704,480,car,422,59,463,90
02-15-20:02.jpg,704,480,car,423,35,454,66
02-15-20:02.jpg,704,480,car,396,10,457,40
02-15-20:02.jpg,704,480,car,464,26,505,61
02-15-20:02.jpg,704,480,car,125,115,185,166
02-15-20:02.jpg,704,480,car,1,147,70,188
02-15-21:18.jpg,704,480,car,291,47,324,83
02-15-21:18.jpg,704,480,car,469,49,507,88
02-15-21:18.jpg,704,480,car,419,9,447,31
02-15-21:18.jpg,704,480,car,479,7,528,39
02-15-21:19.jpg,704,480,truck,456,214,550,325
02-15-21:19.jpg,704,480,motorcycle,579,356,628,450
02-15-21:21.jpg,704,480,truck,80,2,296,156
02-15-21:21.jpg,704,480,car,167,235,335,371
15-02-15-20:19.jpg,704,480,bus,450,64,579,187
15-02-15-20:19.jpg,704,480,camper,375,175,486,276
15-02-15-20:19.jpg,704,480,taxi,238,139,341,204
15-02-15-20:19.jpg,704,480,taxi,103,193,215,282
17.09-14-17:46.jpg,704,480,car,333,87,423,174
17.09-14-17:46.jpg,704,480,taxi,578,183,648,266
17.09-14-17:46.jpg,704,480,motorcycle,654,81,677,120
17.09-14-17:46.jpg,704,480,car,589,60,638,106
17.09-14-17:46.jpg,704,480,motorcycle,9,393,83,477
21.09-14-17:52.jpg,704,480,motorcycle,436,183,477,257
21.09-14-17:52.jpg,704,480,car,1,381,179,479
15-02-15-20:02.jpg,704,480,taxi,338,144,418,213
15-02-15-20:02.jpg,704,480,taxi,232,192,344,295
15-02-15-20:02.jpg,704,480,taxi,447,149,524,221
15-02-15-20:02.jpg,704,480,taxi,543,148,609,221
15-02-15-20:02.jpg,704,480,taxi,142,175,247,257
15-02-15-20:02.jpg,704,480,taxi,247,129,340,206
15-02-15-20:02.jpg,704,480,bus,333,26,477,145
15-02-15-20:02.jpg,704,480,bus,429,31,540,139
15-02-15-20:02.jpg,704,480,truck,502,77,569,173
15-02-15-20:02.jpg,704,480,truck,598,57,651,130
15-02-15-20:02.jpg,704,480,car,550,59,589,93
15-02-15-20:02.jpg,704,480,car,378,194,472,287
15-02-15-20:02.jpg,704,480,car,484,227,574,347
15-02-15-20:03.jpg,704,480,bus,173,64,410,215
15-02-15-20:03.jpg,704,480,bus,390,49,496,177
15-02-15-20:03.jpg,704,480,bus,497,44,597,144
15-02-15-20:03.jpg,704,480,bus,197,155,503,423
15-02-15-20:03.jpg,704,480,car,568,129,620,195
15-02-15-20:04.jpg,704,480,taxi,140,161,252,247
15-02-15-20:04.jpg,704,480,taxi,560,112,629,198
15-02-15-20:05.jpg,704,480,bus,252,93,423,245
15-02-15-20:05.jpg,704,480,bus,404,37,534,144
15-02-15-20:05.jpg,704,480,bus,483,14,569,93
15-02-15-20:05.jpg,704,480,taxi,548,132,610,207
15-02-15-20:05.jpg,704,480,taxi,152,167,239,242
15-02-15-20:05.jpg,704,480,taxi,515,91,565,149
15-02-15-20:05.jpg,704,480,car,442,129,528,209
15-02-15-20:05.jpg,704,480,car,590,108,634,161
15-02-15-20:05.jpg,704,480,car,371,194,467,289
15-02-15-20:05.jpg,704,480,motorcycle,304,210,345,293
15-02-15-20:05.jpg,704,480,motorcycle,431,250,470,339
15-02-15-20:05.jpg,704,480,motorcycle,565,233,599,321
15-02-15-20:05.jpg,704,480,camper,482,200,577,313
15-02-15-20:07.jpg,704,480,taxi,307,138,393,203
15-02-15-20:07.jpg,704,480,taxi,447,240,538,343
15-02-15-20:07.jpg,704,480,taxi,211,184,318,278
15-02-15-20:07.jpg,704,480,taxi,147,165,251,238
15-02-15-20:07.jpg,704,480,motorcycle,289,221,331,296
15-02-15-20:07.jpg,704,480,motorcycle,461,170,495,255
15-02-15-20:07.jpg,704,480,motorcycle,536,180,564,261
15-02-15-20:07.jpg,704,480,motorcycle,548,214,585,297
15-02-15-20:07.jpg,704,480,motorcycle,509,167,540,233
15-02-15-20:07.jpg,704,480,car,555,121,624,198
15-02-15-20:07.jpg,704,480,car,466,118,534,194
15-02-15-20:07.jpg,704,480,taxi,521,93,564,142
15-02-15-20:07.jpg,704,480,car,549,64,595,111
15-02-15-20:07.jpg,704,480,car,596,89,640,145
15-02-15-20:07.jpg,704,480,bus,379,47,508,162
15-02-15-20:07.jpg,704,480,bus,321,24,474,134
15-02-15-20:07.jpg,704,480,bus,482,22,552,97
15-02-15-20:07.jpg,704,480,motorcycle,399,259,445,343
15-02-15-20:07.jpg,704,480,camper,359,195,466,311
15-02-15-20:08.jpg,704,480,bus,237,80,441,270
15-02-15-20:08.jpg,704,480,motorcycle,440,143,470,208
15-02-15-20:08.jpg,704,480,motorcycle,529,182,557,254
15-02-15-20:08.jpg,704,480,motorcycle,399,385,437,474
15-02-15-20:08.jpg,704,480,camper,533,79,576,131
15-02-15-20:08.jpg,704,480,camper,509,43,554,79
15-02-15-20:08.jpg,704,480,taxi,450,51,498,90
15-02-15-20:08.jpg,704,480,taxi,142,160,240,248
15-02-15-20:08.jpg,704,480,car,626,58,663,90
15-02-15-20:09.jpg,704,480,taxi,354,207,468,316
15-02-15-20:09.jpg,704,480,taxi,294,147,385,236
15-02-15-20:09.jpg,704,480,taxi,142,164,248,250
15-02-15-20:09.jpg,704,480,bus,334,19,485,132
15-02-15-20:09.jpg,704,480,motorcycle,435,119,460,179
15-02-15-20:09.jpg,704,480,motorcycle,423,93,451,146
15-02-15-20:09.jpg,704,480,motorcycle,232,197,274,277
15-02-15-20:09.jpg,704,480,taxi,570,123,630,206
15-02-15-20:09.jpg,704,480,car,513,76,568,132
15-02-15-20:11.jpg,704,480,bus,318,36,448,172
15-02-15-20:11.jpg,704,480,bus,500,96,625,232
15-02-15-20:11.jpg,704,480,taxi,492,233,582,329
15-02-15-20:11.jpg,704,480,taxi,344,229,446,328
