Wall time,Step,Value
1551562916.0162153,13,28.625
1551563155.4007916,53,38.875
1551563396.092161,92,26.125
1551563515.7332737,112,32.125
1551563636.1089728,132,25.75
1551563756.2091362,152,31.875
1551563876.187332,172,21.125
1551563996.6550643,192,28.375
1551564116.4870598,212,36.75
1551564236.4155512,232,25.75
1551564356.5373845,252,32.5
1551564476.1471448,272,35.125
1551564596.112757,291,26.25
1551564715.5870256,311,26.625
1551564835.4222844,331,24.75
1551564956.1119668,351,26.25
1551565076.1585371,371,32.25
1551565196.5351548,391,28.25
1551565316.3691378,411,35.0
1551565436.4387977,431,31.25
1551565556.3395658,451,29.375
1551565675.8405452,470,37.75
1551565795.9319487,490,26.375
1551566035.9954684,530,28.875
1551566396.5642512,590,41.0
1551566515.8523865,609,30.75
1551566635.5829186,629,20.625
1551566755.6428823,649,28.0
1551566875.7948806,669,31.25
1551567116.4328718,709,30.625
1551567236.0670967,728,34.25
1551567356.1384,748,42.25
1551567476.2571254,768,18.25
1551567596.7400472,788,30.75
1551567835.4991903,827,34.25
1551567955.7243135,847,31.25
1551568076.0727382,867,32.25
1551568196.4624243,887,24.375
1551568316.4987984,907,34.875
1551568436.267018,927,24.75
1551568675.5939398,966,41.625
1551568795.8741915,986,36.25
1551569036.3895621,1026,30.625
1551569156.3930044,1046,41.5
1551569276.5306644,1066,33.25
1551569396.9278288,1086,26.75
1551569516.251037,1106,21.875
1551569635.7134588,1125,27.625
1551569875.5741255,1165,28.375
1551569996.1643918,1185,35.75
1551570116.2439976,1205,26.375
1551570236.4314163,1225,38.375
1551570356.4481611,1245,30.25
1551570476.3912015,1265,30.25
1551570596.8257523,1285,36.75
1551570716.0459735,1304,33.75
1551570836.0932982,1324,30.25
1551570956.014403,1344,31.0
1551571075.6425455,1364,42.25
1551571315.7511683,1404,36.75
1551571435.8847587,1424,34.625
1551571556.1280894,1444,27.25
1551571676.098255,1464,24.0
1551571916.3119237,1504,30.75
1551572036.4189892,1524,21.625
1551572156.28627,1544,33.375
1551572276.3807466,1564,19.375
1551572516.217083,1604,26.75
1551572636.5048053,1624,40.75
1551572876.4683685,1664,35.125
1551572996.6809685,1684,26.375
1551573115.8825548,1703,23.375
1551573236.007672,1723,30.875
1551573355.9712534,1743,22.75
1551573475.6820076,1763,25.625
1551573715.5299528,1803,29.625
1551573835.6171772,1823,30.5
1551573955.5435648,1843,35.0
1551574075.4026656,1863,26.0
1551574315.583624,1903,28.75
1551574435.7593896,1923,20.375
1551574675.9661818,1963,34.0
1551574796.520874,1983,30.625
1551574916.1983094,2003,33.75
1551575036.2538981,2023,33.5
1551575156.5416207,2043,24.625
1551575276.3151028,2063,41.75
1551575396.647095,2083,34.625
1551575516.41938,2103,30.625
1551575756.4813106,2143,29.25
1551575876.2918224,2163,25.75
1551575996.6722555,2183,23.5
1551576116.4642498,2203,28.875
1551576356.4897463,2243,41.375
1551576476.3955867,2263,29.75
1551576596.6501238,2283,44.875
1551576716.2499435,2303,27.875
1551576836.315123,2323,32.875
1551576956.2592237,2343,35.875
1551577076.274881,2363,22.625
1551577196.5436122,2383,36.625
1551577316.0931811,2403,29.75
1551577436.160807,2423,25.25
1551577556.2199812,2443,29.5
1551577676.1743352,2463,33.625
1551577796.5711596,2483,31.25
1551577916.2998471,2503,31.125
