Wall time,Step,Value
1551562916.0162153,13,3.875
1551563155.4007916,53,3.625
1551563396.092161,92,2.4583332538604736
1551563515.7332737,112,3.0416667461395264
1551563636.1089728,132,2.0
1551563756.2091362,152,2.5833332538604736
1551563876.187332,172,1.9583333730697632
1551563996.6550643,192,1.9583333730697632
1551564116.4870598,212,2.8333332538604736
1551564236.4155512,232,2.9583332538604736
1551564356.5373845,252,3.8333332538604736
1551564476.1471448,272,3.6666667461395264
1551564596.112757,291,2.4583332538604736
1551564715.5870256,311,2.1666667461395264
1551564835.4222844,331,2.5833332538604736
1551564956.1119668,351,2.5416667461395264
1551565076.1585371,371,3.5
1551565196.5351548,391,2.8333332538604736
1551565316.3691378,411,2.5
1551565436.4387977,431,4.333333492279053
1551565556.3395658,451,2.7083332538604736
1551565675.8405452,470,4.333333492279053
1551565795.9319487,490,3.5
1551566035.9954684,530,2.9166667461395264
1551566396.5642512,590,4.041666507720947
1551566515.8523865,609,3.5416667461395264
1551566635.5829186,629,1.625
1551566755.6428823,649,3.25
1551566875.7948806,669,2.4583332538604736
1551567116.4328718,709,4.5
1551567236.0670967,728,4.208333492279053
1551567356.1384,748,3.5416667461395264
1551567476.2571254,768,2.375
1551567596.7400472,788,4.125
1551567835.4991903,827,3.7916667461395264
1551567955.7243135,847,3.2916667461395264
1551568076.0727382,867,3.7916667461395264
1551568196.4624243,887,2.5416667461395264
1551568316.4987984,907,3.8333332538604736
1551568436.267018,927,2.75
1551568675.5939398,966,3.5
1551568795.8741915,986,4.25
1551569036.3895621,1026,4.625
1551569156.3930044,1046,4.0
1551569276.5306644,1066,3.1666667461395264
1551569396.9278288,1086,2.2916667461395264
1551569516.251037,1106,2.7083332538604736
1551569635.7134588,1125,3.1666667461395264
1551569875.5741255,1165,3.125
1551569996.1643918,1185,4.166666507720947
1551570116.2439976,1205,2.1666667461395264
1551570236.4314163,1225,4.875
1551570356.4481611,1245,3.5416667461395264
1551570476.3912015,1265,3.75
1551570596.8257523,1285,3.7916667461395264
1551570716.0459735,1304,2.9166667461395264
1551570836.0932982,1324,2.7916667461395264
1551570956.014403,1344,2.9583332538604736
1551571075.6425455,1364,2.875
