id,filename,width,height,class,xmin,ymin,xmax,ymax
0,0.jpg,8320,3328,no comercial,33,981,8178,2454
1,1.jpg,8320,3328,no comercial,930,1347,8127,2587
2,1.jpg,8320,3328,comercial,0,1555,840,2562
3,2.jpg,8320,3328,comercial,83,1712,2013,2669
4,2.jpg,8320,3328,no comercial,2129,1630,8195,2570
5,3.jpg,8320,3328,no comercial,116,1321,8103,2769
6,4.jpg,8320,3328,no comercial,40,1479,8185,3102
7,5.jpg,8320,3328,no comercial,831,1397,8227,3253
8,5.jpg,8320,3328,comercial,23,1306,697,2446
9,6.jpg,8320,3328,no comercial,23,1414,8062,2970
10,7.jpg,8320,3328,no comercial,40,1297,8161,3044
11,8.jpg,8320,3328,no comercial,32,1230,8078,3060
12,9.jpg,8320,3328,no comercial,107,1005,8144,3085
13,10.jpg,8320,3328,no comercial,58,1206,8245,2895
14,11.jpg,8320,3328,no comercial,23,940,8294,3185
15,12.jpg,8320,3328,comercial,5982,1588,6864,2353
16,12.jpg,8320,3328,no comercial,58,1613,5898,2587
17,13.jpg,8320,3328,no comercial,623,790,8277,2519
18,14.jpg,8320,3328,no comercial,49,923,8278,2445
19,15.jpg,8320,3328,no comercial,24,831,8127,2845
20,16.jpg,8320,3328,comercial,348,1322,1995,3003
21,16.jpg,8320,3328,comercial,1970,1397,3052,2736
22,16.jpg,8320,3328,comercial,2727,273,4017,2511
23,16.jpg,8320,3328,comercial,5581,1488,6596,2636
24,16.jpg,8320,3328,no comercial,6606,1063,8261,2654
25,17.jpg,8320,3328,no comercial,2170,947,6722,2970
26,17.jpg,8320,3328,comercial,1356,1422,1955,2471
27,17.jpg,8320,3328,comercial,481,1331,1388,2346
28,18.jpg,8320,3328,comercial,2062,1446,3127,2802
29,18.jpg,8320,3328,comercial,7,1306,1539,3169
30,22.jpg,8320,3328,no comercial,83,930,8119,2694
31,23.jpg,8320,3328,no comercial,66,965,8052,2520
32,24.jpg,8320,3328,no comercial,41,905,8261,2295
33,25.jpg,8320,3328,no comercial,24,1073,8136,2745
34,26.jpg,8320,3328,no comercial,23,822,8270,2095
35,27.jpg,8320,3328,no comercial,32,639,8219,3110
36,28.jpg,8320,3328,no comercial,2412,940,6073,2903
37,29.jpg,8320,3328,comercial,4508,940,6730,2412
38,29.jpg,8320,3328,no comercial,173,507,3536,2146
39,30.jpg,8320,3328,no comercial,58,972,8062,3243
40,31.jpg,8320,3328,no comercial,174,1048,8103,3178
41,32.jpg,8320,3328,no comercial,74,698,7579,3120
42,33.jpg,8320,3328,no comercial,23,740,8177,3153
43,34.jpg,8320,3328,no comercial,49,739,8244,3127
44,35.jpg,8320,3328,no comercial,140,855,8294,3060
45,36.jpg,8320,3328,no comercial,107,1163,8119,3210
46,37.jpg,8320,3328,no comercial,108,848,8185,3178
47,38.jpg,8320,3328,no comercial,85,434,8210,3193
48,39.jpg,8320,3328,comercial,5877,1708,6383,2428
49,39.jpg,8320,3328,no comercial,4761,1538,5701,2382
50,39.jpg,8320,3328,no comercial,6495,1473,7373,2426
51,39.jpg,8320,3328,no comercial,2455,1231,4794,2497
52,39.jpg,8320,3328,comercial,18,1248,1241,2309
53,39.jpg,8320,3328,no comercial,12,1627,475,2224
54,39.jpg,8320,3328,no comercial,1254,1053,1784,2400
55,40.jpg,8320,3328,comercial,4313,1660,4864,2418
56,40.jpg,8320,3328,comercial,23,1219,1065,2498
57,41.jpg,8320,3328,no comercial,0,699,8301,2717
58,42.jpg,8320,3328,no comercial,0,809,8312,2888
59,43.jpg,8320,3328,comercial,1614,73,8245,2468
60,44.jpg,8320,3328,no comercial,0,249,8112,3132
61,45.jpg,8320,3328,no comercial,0,853,8312,2565
62,46.jpg,8320,3328,no comercial,0,913,8312,3278
63,47.jpg,8320,3328,no comercial,0,847,8312,2815
64,48.jpg,8320,3328,no comercial,7339,1010,8312,2211
65,48.jpg,8320,3328,no comercial,6236,943,7241,2212
66,48.jpg,8320,3328,no comercial,4792,827,6162,2345
67,48.jpg,8320,3328,no comercial,4092,950,4743,2242
68,48.jpg,8320,3328,no comercial,3423,1139,4093,2340
69,48.jpg,8320,3328,no comercial,2185,1065,3325,2364
70,48.jpg,8320,3328,comercial,833,1547,1687,2394
71,49.jpg,8320,3328,no comercial,194,992,986,1894
72,49.jpg,8320,3328,no comercial,1083,1071,1815,1986
73,49.jpg,8320,3328,no comercial,1888,993,2436,2102
74,49.jpg,8320,3328,no comercial,2435,847,3671,2321
75,49.jpg,8320,3328,no comercial,3666,760,5018,2419
76,49.jpg,8320,3328,no comercial,5043,931,6230,2438
77,49.jpg,8320,3328,no comercial,6120,938,7429,2419
78,50.jpg,8320,3328,no comercial,0,937,8312,2778
79,51.jpg,8320,3328,no comercial,492,602,2910,2712
80,51.jpg,8320,3328,no comercial,2715,335,6095,3083
81,51.jpg,8320,3328,no comercial,6224,401,8313,2961
82,52.jpg,8320,3328,no comercial,1492,902,4738,2864
83,52.jpg,8320,3328,comercial,4963,730,7106,2577
84,53.jpg,8320,3328,comercial,839,1016,3641,2772
85,53.jpg,8320,3328,no comercial,3806,937,8270,2796
86,54.jpg,8320,3328,no comercial,41,920,8209,2755
87,55.jpg,8320,3328,comercial,906,1066,2295,2419
88,55.jpg,8320,3328,comercial,2331,1615,3185,2364
89,55.jpg,8320,3328,comercial,5573,1572,6791,2431
90,55.jpg,8320,3328,comercial,5949,1072,7515,2267
91,56.jpg,8320,3328,comercial,2259,1455,3977,2437
92,56.jpg,8320,3328,no comercial,4409,1225,7040,2461
93,56.jpg,8320,3328,no comercial,7241,1414,8277,2432
94,57.jpg,8320,3328,no comercial,6,1560,1570,2572
95,57.jpg,8320,3328,comercial,1583,1419,2838,2528
96,57.jpg,8320,3328,comercial,3677,1353,4548,2517
97,57.jpg,8320,3328,comercial,4682,1321,5932,2425
98,57.jpg,8320,3328,no comercial,6832,1120,8313,2491
99,58.jpg,8320,3328,comercial,193,1382,2124,2590
100,58.jpg,8320,3328,comercial,2844,1206,4269,2596
101,58.jpg,8320,3328,comercial,4366,1286,5809,2613
102,59.jpg,8320,3328,comercial,2940,1175,4487,2491
103,62.jpg,8320,3328,no comercial,36,975,8070,2510
104,63.jpg,8320,3328,comercial,12,1011,3033,2115
105,64.jpg,8320,3328,no comercial,346,1078,1814,2950
106,64.jpg,8320,3328,no comercial,2101,632,5591,3023
107,64.jpg,8320,3328,no comercial,5804,553,8265,3058
108,65.jpg,8320,3328,no comercial,1065,780,2392,2705
109,65.jpg,8320,3328,no comercial,2284,498,4257,2639
110,65.jpg,8320,3328,no comercial,4159,888,5847,2552
111,65.jpg,8320,3328,no comercial,5798,865,7205,2620
112,66.jpg,8320,3328,no comercial,145,535,2008,3016
113,66.jpg,8320,3328,no comercial,2491,841,5207,3047
114,66.jpg,8320,3328,no comercial,5499,847,7345,2944
115,67.jpg,8320,3328,no comercial,0,1218,1583,2918
116,67.jpg,8320,3328,no comercial,1595,1339,3581,2937
117,67.jpg,8320,3328,no comercial,3556,901,6126,2955
118,67.jpg,8320,3328,no comercial,6162,694,7990,2766
119,68.jpg,8320,3328,comercial,2191,1035,4166,2717
120,68.jpg,8320,3328,no comercial,882,919,2210,2760
