filename,width,height,class,xmin,ymin,xmax,ymax
15-02-15-20:17.jpg,704,480,bus,225,117,411,281
15-02-15-20:17.jpg,704,480,camper,335,212,456,329
15-02-15-20:17.jpg,704,480,camper,555,140,607,210
15-02-15-20:17.jpg,704,480,taxi,470,211,553,307
15-02-15-20:17.jpg,704,480,taxi,442,138,519,202
15-02-15-20:17.jpg,704,480,taxi,24,238,147,334
15-02-15-20:17.jpg,704,480,taxi,166,176,244,258
15-02-15-20:17.jpg,704,480,taxi,388,110,435,167
15-02-15-20:17.jpg,704,480,taxi,505,96,557,149
15-02-15-20:17.jpg,704,480,bus,436,39,528,126
15-02-15-20:17.jpg,704,480,car,546,66,593,106
15-02-15-20:17.jpg,704,480,car,615,59,663,99
62. dodge_cv-side-entry-wheelchair-van.jpg,704,480,camper,40,33,660,480
45. twofacetruck2.jpg,704,480,camper,74,155,359,330
45. twofacetruck2.jpg,704,480,camper,342,185,668,353
33.09-14-17:43.jpg,704,480,camper,378,288,579,474
33.09-14-17:43.jpg,704,480,camper,271,7,346,58
33.09-14-17:43.jpg,704,480,camper,558,191,704,307
33.09-14-17:43.jpg,704,480,car,555,132,695,214
33.09-14-17:43.jpg,704,480,car,405,65,498,126
33.09-14-17:43.jpg,704,480,car,302,75,393,135
33.09-14-17:43.jpg,704,480,car,227,32,293,72
33.09-14-17:43.jpg,704,480,car,213,1,268,26
33.09-14-17:43.jpg,704,480,car,71,16,120,58
33.09-14-17:43.jpg,704,480,truck,8,39,101,155
33.09-14-17:43.jpg,704,480,motorcycle,83,57,109,96
33.09-14-17:43.jpg,704,480,motorcycle,148,143,187,203
33.09-14-17:43.jpg,704,480,motorcycle,150,108,191,161
33.09-14-17:43.jpg,704,480,motorcycle,349,373,443,477
33.09-14-17:43.jpg,704,480,motorcycle,310,437,384,480
28.09-14-17:40.jpg,704,480,bus,122,82,192,158
28.09-14-17:40.jpg,704,480,car,1,151,33,188
28.09-14-17:40.jpg,704,480,car,176,158,228,206
28.09-14-17:40.jpg,704,480,car,200,293,276,360
28.09-14-17:40.jpg,704,480,car,373,270,457,345
28.09-14-17:40.jpg,704,480,car,365,190,438,250
28.09-14-17:40.jpg,704,480,car,475,251,556,306
28.09-14-17:40.jpg,704,480,car,264,45,312,82
28.09-14-17:40.jpg,704,480,car,616,427,704,479
28.09-14-17:40.jpg,704,480,car,416,143,470,178
28.09-14-17:40.jpg,704,480,taxi,341,135,385,179
28.09-14-17:40.jpg,704,480,taxi,369,97,414,132
28.09-14-17:40.jpg,704,480,taxi,238,33,275,58
28.09-14-17:40.jpg,704,480,van,213,12,250,45
28.09-14-17:40.jpg,704,480,van,631,131,704,175
28.09-14-17:40.jpg,704,480,van,633,105,704,132
28.09-14-17:40.jpg,704,480,motorcycle,257,200,285,252
28.09-14-17:40.jpg,704,480,motorcycle,447,213,480,266
28.09-14-17:40.jpg,704,480,motorcycle,481,188,511,239
28.09-14-17:40.jpg,704,480,motorcycle,438,153,468,200
28.09-14-17:40.jpg,704,480,motorcycle,433,106,462,143
28.09-14-17:40.jpg,704,480,motorcycle,341,60,360,87
28.09-14-17:40.jpg,704,480,motorcycle,487,314,533,379
28.09-14-17:40.jpg,704,480,motorcycle,570,231,608,289
28.09-14-17:40.jpg,704,480,motorcycle,550,293,588,360
28.09-14-17:40.jpg,704,480,motorcycle,526,351,573,434
79. all-set-to-introduce-latest-cars-in-pakistan-1536270591-6240.jpg,704,480,van,24,43,663,443
17. fiat-ducato-sideview-feature.jpg,704,480,van,19,9,692,444
30.09-14-17:41.jpg,704,480,motorcycle,166,294,242,364
30.09-14-17:41.jpg,704,480,car,1,201,127,315
30.09-14-17:41.jpg,704,480,car,188,32,245,74
30.09-14-17:41.jpg,704,480,car,209,6,256,39
30.09-14-17:41.jpg,704,480,taxi,111,130,185,201
Unix_80. pullman-tur-en-carretera.jpg,704,480,bus,164,115,585,370
69-02-15-20:06.jpg,704,480,car,425,264,497,334
69-02-15-20:06.jpg,704,480,car,274,195,317,244
69-02-15-20:06.jpg,704,480,car,393,166,426,207
69-02-15-20:06.jpg,704,480,car,440,140,470,164
69-02-15-20:06.jpg,704,480,car,425,115,454,137
